x,y,phase_id,grain_id,phi_1,Phi,phi_2
0.0,20.0,2,29,176.6503114,146.3601079,230.6208689
0.0,40.0,2,29,177.7520569,146.0829534,230.7397886
0.0,60.0,2,29,176.7014366,146.3453357,230.1222682
0.0,80.0,2,29,177.2328721,146.1285143,230.762791
0.0,100.0,2,29,176.4961833,146.5518936,230.4969064
0.0,120.0,2,29,176.7190966,146.7560387,230.3225685
0.0,140.0,2,9,348.5317947,142.6114865,220.1000609
0.0,160.0,2,9,348.686873,142.5098706,219.9780601
0.0,180.0,2,9,350.1186237,142.6689659,219.0269769
0.0,260.0,2,43,234.5246142,161.5050779,254.9632324
0.0,360.0,2,43,235.7576472,161.3464168,256.1596146
0.0,380.0,2,43,235.4439516,161.6124056,255.6320013
0.0,400.0,2,43,234.5761222,161.1421878,255.1801524
0.0,420.0,2,43,235.3938568,161.5797265,256.3080343
0.0,500.0,2,23,61.40792618,146.4637153,213.2633776
0.0,540.0,2,15,258.8740207,141.6320935,235.7741806
0.0,560.0,2,15,259.6368543,141.883619,236.184137
0.0,580.0,2,15,258.9624898,141.6916729,235.3674399
0.0,600.0,2,15,259.8698999,141.571433,236.9763794
0.0,700.0,2,12,59.15012208,146.5072587,211.4601329
0.0,720.0,2,12,59.43567277,146.3734966,211.6571926
0.0,820.0,2,28,276.6176126,159.6611169,266.2142129
0.0,840.0,2,28,277.7191254,159.9191935,266.8982239
0.0,860.0,2,28,276.9542208,159.355981,266.4105651
0.0,900.0,2,28,277.1293421,160.3367239,266.5666304
0.0,920.0,2,28,276.7098641,160.3258977,266.2462155
0.0,940.0,2,28,276.5725212,160.1867141,266.0203163
0.0,960.0,2,51,60.95698403,149.5030432,190.2421329
0.0,980.0,2,51,62.76535653,149.1113114,191.30784
0.0,1000.0,2,51,62.0679563,149.3023531,191.1500414
0.0,1060.0,2,24,298.7902721,136.3956161,239.116554
0.0,1080.0,2,24,298.8766802,136.1914549,239.1707267
0.0,1120.0,2,25,223.6643561,138.8600213,216.6136765
0.0,1140.0,2,25,223.5147519,139.2399658,216.6498524
0.0,1160.0,2,25,223.4916527,139.2179883,216.4284956
0.0,1180.0,2,25,224.2302936,139.2486343,216.9572986
0.0,1200.0,2,25,223.3861252,138.9127574,217.0322816
0.0,1220.0,2,25,223.9106781,139.0522256,217.2836501
0.0,1260.0,2,13,58.18304265,149.5316243,234.4341603
0.0,1340.0,2,18,343.7902549,155.5793484,184.2413016
0.0,1360.0,2,18,343.7874824,155.1097256,184.7468889
0.0,1480.0,2,37,159.1035379,135.9602133,180.51163
0.0,1500.0,2,1,87.28270036,135.7009081,178.8783877
0.0,1560.0,2,16,21.78203814,138.8109481,247.3437024
0.0,1580.0,2,16,22.54762847,138.9258181,248.1942901
0.0,1600.0,2,16,21.86506254,138.7968401,247.5373422
0.0,1620.0,2,16,21.47594864,138.9310113,248.1353926
0.0,1640.0,2,16,21.13130119,138.6963265,247.6160585
0.0,1660.0,2,16,21.78874551,138.3578451,247.4597439
0.0,1680.0,2,10,299.6719238,145.6631645,215.1471512
0.0,1720.0,2,11,273.932713,152.2538506,214.9339826
0.0,1760.0,2,17,74.38335129,157.1685649,230.8543863
0.0,1780.0,2,17,73.97846417,157.3692746,230.3408848
0.0,1800.0,2,17,74.58330207,157.5157996,230.7459182
0.0,1820.0,2,17,72.54272044,157.8526964,229.552456
0.0,1840.0,2,2,152.6372233,159.3233657,185.4094262
0.0,1860.0,2,2,152.4029684,159.1277934,184.6193382
0.0,1900.0,2,2,152.8940252,158.9234532,185.2313995
0.0,1920.0,2,2,153.5425448,159.1456238,185.9317154
0.0,1980.0,2,6,18.54042745,158.8317389,191.3138562
0.0,2060.0,2,3,354.6891487,129.0446446,232.5643394
0.0,2080.0,2,3,354.0801216,128.954464,232.0388006
0.0,2100.0,2,3,353.4142727,128.220667,231.7862
0.0,2120.0,2,8,291.4813814,131.582558,225.4706662
0.0,2140.0,2,8,289.648011,131.7482749,224.4036605
0.0,2180.0,2,4,287.3465478,170.8242284,222.1358885
0.0,2200.0,2,4,289.6670519,169.9575457,224.6933198
0.0,2220.0,2,4,288.3294457,170.2653621,223.2589064
0.0,2240.0,2,4,292.5571401,170.3933543,226.6000464
20.0,20.0,2,29,176.7362016,146.5273062,231.0249411
20.0,40.0,2,29,177.3895414,145.7811483,230.9034388
20.0,60.0,2,29,176.7357045,146.0725019,230.4129954
20.0,80.0,2,29,176.9192738,146.2880952,229.96254
20.0,100.0,2,29,176.7788541,146.6396477,230.6539988
20.0,120.0,2,29,176.4664599,146.7245089,230.4556776
20.0,140.0,2,9,347.9066621,142.4981239,219.844305
20.0,160.0,2,9,347.4856331,142.3512898,219.6269664
20.0,180.0,2,9,347.729162,142.6940867,220.0181379
20.0,220.0,2,43,235.605103,161.259997,255.1042351
20.0,240.0,2,43,235.3208943,161.5065921,255.1361246
20.0,260.0,2,43,234.9645061,161.4622131,254.7109632
20.0,280.0,2,43,235.2134439,161.2165211,256.510815
20.0,300.0,2,43,234.0652879,161.159467,254.5915453
20.0,340.0,2,43,235.9032491,161.3347438,256.0114609
20.0,360.0,2,43,234.982962,161.2926845,254.9460021
20.0,380.0,2,5,349.6053081,141.8816215,220.3737161
20.0,400.0,2,43,236.3489006,161.5683334,256.3894542
20.0,420.0,2,43,236.5568008,161.5795447,256.9183621
20.0,440.0,2,43,236.718264,161.6613854,257.3426538
20.0,480.0,2,44,258.4512199,142.3172422,234.3464165
20.0,500.0,2,56,111.8234878,168.6503911,233.3747084
20.0,540.0,2,23,62.10666232,146.871774,213.5112635
20.0,560.0,2,23,62.1720348,146.477222,213.8715904
20.0,580.0,2,23,61.48792614,146.6054947,212.9315758
20.0,600.0,2,23,60.25365623,146.3518312,212.7313832
20.0,620.0,2,15,259.71082,141.6842159,235.9143375
20.0,640.0,2,15,259.9282297,141.2107736,236.8049543
20.0,660.0,2,15,259.4800169,141.8275094,235.9398937
20.0,680.0,2,12,61.6239904,146.1182014,212.6826601
20.0,700.0,2,12,61.20976749,146.6640555,212.5628207
20.0,720.0,2,12,59.19267322,146.3673327,211.311073
20.0,740.0,2,12,59.40017649,146.6367291,211.1356122
20.0,760.0,2,12,60.20548884,146.1118852,211.5988948
20.0,780.0,2,12,59.53553796,146.425229,211.2194402
20.0,800.0,2,28,275.7493796,160.0493452,264.8296286
20.0,820.0,2,28,276.4429904,159.4939574,266.3582203
20.0,840.0,2,14,183.401581,136.4052372,233.7511505
20.0,860.0,2,28,276.0300092,159.7254494,265.9983875
20.0,880.0,2,28,276.832363,159.8221158,265.9561369
20.0,900.0,2,28,277.7575513,160.3621082,266.6213323
20.0,920.0,2,28,277.8682611,160.022999,267.1726226
20.0,960.0,2,51,61.43432298,149.3816802,190.675187
20.0,980.0,2,51,61.51185234,149.4392351,190.6385194
20.0,1020.0,2,24,298.0287612,136.578488,238.4398421
20.0,1040.0,2,24,298.9733144,136.0694347,239.0872061
20.0,1060.0,2,24,298.0418107,136.252426,238.9421272
20.0,1080.0,2,24,298.2801449,136.2183137,239.0031727
20.0,1100.0,2,24,298.6012158,136.2692701,239.0789654
20.0,1120.0,2,24,298.1936743,136.1363957,238.8208098
20.0,1140.0,2,25,223.3434648,139.0799244,216.7026502
20.0,1160.0,2,25,223.5859896,139.0885868,216.6901794
20.0,1180.0,2,25,223.1900512,138.7423647,216.5685219
20.0,1200.0,2,25,223.8480474,138.9704979,216.9461823
20.0,1220.0,2,25,224.8718202,139.0154038,217.4588305
20.0,1240.0,2,13,59.01951907,149.6924707,235.2291541
20.0,1260.0,2,13,57.15303894,149.8330995,234.3728747
20.0,1280.0,2,13,57.25628601,149.7381779,234.2286585
20.0,1340.0,2,31,72.16036237,136.6196894,209.7079759
20.0,1360.0,2,18,343.8006666,155.3184762,184.7106353
20.0,1400.0,2,37,158.6055179,135.00944,180.3525319
20.0,1420.0,2,37,160.5595435,134.989145,181.3241263
20.0,1440.0,2,37,159.4813388,135.7425661,180.2499164
20.0,1460.0,2,37,160.0195851,135.592644,180.609626
20.0,1480.0,2,1,87.78119137,135.6252347,179.1990838
20.0,1500.0,2,37,159.61106,135.872627,180.1502279
20.0,1520.0,2,37,159.2662392,136.2155743,180.6537661
20.0,1560.0,2,16,21.53739678,138.8831777,247.263979
20.0,1580.0,2,16,22.39454148,138.949127,247.9969506
20.0,1600.0,2,16,21.82595864,139.234601,247.8828145
20.0,1620.0,2,16,21.38738607,139.01436,247.4397957
20.0,1640.0,2,16,22.68020588,138.8103237,248.4203373
20.0,1660.0,2,16,21.52158204,138.4527022,247.3722132
20.0,1680.0,2,10,299.4521197,145.4887208,214.9529776
20.0,1700.0,2,11,275.7065698,153.2387169,217.4936249
20.0,1720.0,2,11,275.4354147,153.1232471,217.3692483
20.0,1740.0,2,17,74.06677379,157.6437954,230.4389095
20.0,1760.0,2,17,74.73946115,157.6616573,231.3233073
20.0,1780.0,2,17,73.76263919,157.3620131,230.5446461
20.0,1800.0,2,17,72.00332521,157.4438699,228.3806446
20.0,1820.0,2,17,72.27936565,157.9754493,229.3895413
20.0,1840.0,2,20,215.2490431,151.1525959,224.6064199
20.0,1860.0,2,2,151.8169592,159.2878895,184.2911319
20.0,1900.0,2,26,142.077874,146.2165888,182.14042
20.0,1920.0,2,26,141.8258779,146.1863438,182.2125779
20.0,1940.0,2,26,141.5985036,146.3951239,182.3158879
20.0,1960.0,2,6,18.33069419,158.4883552,190.9611954
20.0,1980.0,2,6,18.11564332,158.3044492,191.2321722
20.0,2000.0,2,32,272.9078097,134.3349005,249.3279055
20.0,2020.0,2,7,195.436836,145.9555919,223.2462999
20.0,2040.0,2,7,194.9781623,146.1065629,222.9041171
20.0,2080.0,2,3,354.4280797,128.8331098,231.9720904
20.0,2100.0,2,3,353.8310012,127.915542,231.6877869
20.0,2120.0,2,8,290.0567953,131.673175,224.0894534
20.0,2140.0,2,8,289.9579845,131.4635424,224.2440784
20.0,2160.0,2,4,288.3665087,170.2626848,223.7302353
20.0,2180.0,2,4,289.9818399,170.2685394,225.5849376
20.0,2200.0,2,4,291.5043982,169.7528628,226.4870642
20.0,2220.0,2,4,287.6434428,171.5402295,221.8383214
40.0,20.0,2,29,175.3997325,146.2988863,230.1106318
40.0,40.0,2,29,177.2971264,146.0064498,230.44983
40.0,60.0,2,29,177.1523161,146.315794,230.4353157
40.0,80.0,2,29,176.7012909,146.0699164,229.3344328
40.0,100.0,2,29,176.315355,146.620024,230.6233587
40.0,120.0,2,29,177.4143622,146.8038584,230.5119348
40.0,140.0,2,9,347.8758376,142.3403466,219.8616135
40.0,160.0,2,9,347.5044636,142.4547437,220.0507459
40.0,180.0,2,43,234.0372391,160.9970685,255.0106338
