x,y,phase_id,grain_id,phi_1,Phi,phi_2
0.0,240.0,2,6,69.33877577,144.8328996,216.1494723
0.0,20.0,2,6,67.86865285,145.0499419,215.1323425
0.0,40.0,2,6,68.65473702,144.7788472,216.2776306
0.0,60.0,2,6,69.07672183,144.7794169,216.4461381
0.0,340.0,2,7,104.8446243,137.6523064,225.8250271
0.0,360.0,2,7,104.5923721,137.5209096,225.4967633
0.0,440.0,2,4,225.1790227,132.0245769,216.6707462
0.0,460.0,2,4,225.6587027,132.0666046,216.2906872
0.0,500.0,2,4,226.0756509,132.409971,216.579323
0.0,520.0,2,4,226.1015238,132.22755,216.4166527
0.0,540.0,2,5,190.5774181,131.594213,211.7440432
0.0,560.0,2,33,253.2900407,138.1168894,234.5501739
0.0,580.0,2,33,253.5633734,137.9888937,234.8617489
0.0,640.0,2,20,325.3340958,136.5131299,216.6599453
0.0,660.0,2,1,43.84284418,150.6160568,265.7118244
0.0,680.0,2,1,43.95744821,150.4423261,266.2074179
0.0,700.0,2,1,43.0336032,150.5290599,265.2627775
0.0,720.0,2,1,42.24705878,150.175672,265.490811
0.0,740.0,2,1,41.4529525,150.4152754,264.6305037
0.0,760.0,2,1,42.62118086,150.5933187,265.5360658
0.0,840.0,2,18,134.1041262,140.4403672,202.401255
0.0,860.0,2,18,133.3241413,140.8796001,201.8044826
0.0,880.0,2,18,133.0479724,140.631396,201.7532474
0.0,900.0,2,18,132.739888,140.6049734,201.8432301
0.0,920.0,2,18,133.5718188,140.6938879,202.1934567
0.0,940.0,2,18,133.5163996,140.3486826,201.7687217
0.0,960.0,2,18,133.6954206,140.4135104,202.1786833
0.0,980.0,2,18,133.0691368,140.4967416,201.7369098
0.0,1000.0,2,18,132.8649012,140.617062,201.4016689
0.0,1020.0,2,18,133.1319739,140.9686156,201.989936
0.0,1040.0,2,18,133.0326552,140.9331886,201.8752335
0.0,1060.0,2,18,133.0159663,141.0856269,201.7602996
0.0,1080.0,2,18,132.8656604,141.0744499,201.5432041
0.0,1100.0,2,11,352.4625249,143.2417642,249.7865818
0.0,1120.0,2,11,352.2106278,143.2826313,249.8086855
0.0,1140.0,2,2,133.5453321,140.6308259,201.6853503
0.0,1160.0,2,2,132.6743583,140.5114996,201.9684387
0.0,1180.0,2,2,133.1701979,140.641704,201.7902845
0.0,1200.0,2,2,132.6655701,141.1157607,201.6745213
0.0,1220.0,2,2,133.5078168,140.8171822,201.8212449
0.0,1240.0,2,2,133.5405334,140.9476412,201.894883
0.0,1260.0,2,2,133.3345551,141.1889017,201.3864268
0.0,1420.0,2,8,53.01750896,146.5713288,229.0054374
0.0,1500.0,2,58,27.03592188,169.6906714,215.9560574
0.0,1520.0,2,58,29.53927027,170.2182311,218.1876151
0.0,1560.0,2,12,10.98289944,143.748769,262.812759
0.0,1660.0,2,70,152.8324773,139.7814716,191.6910757
0.0,1680.0,2,70,153.5020329,139.8347185,192.2369889
0.0,1700.0,2,70,153.202256,140.5292278,192.6886312
0.0,1720.0,2,70,153.1076416,140.6019066,192.9512755
0.0,1800.0,2,15,185.1428347,161.9067044,183.9546234
0.0,1820.0,2,15,186.2165843,161.7397696,185.7754206
0.0,1840.0,2,15,185.3362484,161.6938763,184.6554703
0.0,1860.0,2,9,276.6760985,169.4319707,188.2634897
0.0,1880.0,2,53,248.0712126,153.1211292,249.4515614
0.0,1900.0,2,53,248.1792791,153.4480347,248.7970062
0.0,1920.0,2,41,35.58001643,133.3565969,210.5458031
0.0,1940.0,2,41,35.91344639,133.4308539,210.4585012
0.0,1960.0,2,41,35.8491041,133.2847142,210.4175834
0.0,1980.0,2,41,36.35482686,133.5315875,210.8243564
0.0,2000.0,2,41,35.55561942,133.4495082,210.3706542
0.0,2040.0,2,41,35.87952899,133.1731826,210.0510919
0.0,2060.0,2,19,288.5648797,158.7437813,187.5925309
